year,month,day,hour,speed
2014,1,29,13,45.81
2014,1,29,14,45.09
2014,1,29,15,48.09
2014,1,29,16,70.41
2014,1,29,17,93.81
2014,1,29,18,91.24
2014,1,29,19,91.28
2014,1,29,20,92.1
2014,1,29,21,91.89
2014,1,29,22,88.22
2014,1,29,23,85.18
2014,1,30,0,78.37
2014,1,30,1,94.92
2014,1,30,2,97.18
2014,1,30,3,84.09
2014,1,30,4,77.37
2014,1,30,5,96.42
2014,1,30,6,93.07
2014,1,30,7,89.21
2014,1,30,8,87.93
2014,1,30,9,82.53
2014,1,30,10,78.92
2014,1,30,11,74.56
2014,1,30,12,75.02
2014,1,30,13,78.38
2014,1,30,14,84.88
2014,1,30,15,87.1
2014,1,30,16,89.84
2014,1,30,17,93.11
2014,1,30,18,92.14
2014,1,30,19,94.33
2014,1,30,20,95.26
2014,1,30,21,98.25
2014,1,30,22,99.99
2014,1,30,23,103.9
2014,1,31,0,104.48
2014,1,31,1,104.61
2014,1,31,2,105.06
2014,1,31,3,106.41
2014,1,31,4,105.52
2014,1,31,5,97.78
2014,1,31,6,88.24
2014,1,31,7,86.68
2014,1,31,8,96.05
2014,1,31,9,91.66
2014,1,31,10,68.9
2014,1,31,11,42.01
2014,1,31,12,35.7
2014,1,31,13,33.28
2014,1,31,14,26.12
2014,1,31,15,34.49
2014,1,31,16,51.34
2014,1,31,17,84.58
2014,1,31,18,83.93
2014,1,31,19,85.88
2014,1,31,20,88.45
2014,1,31,21,89.85
2014,1,31,22,93.01
2014,1,31,23,98.8
2014,2,1,0,102.46
2014,2,1,1,105.35
2014,2,1,2,104.59
2014,2,1,3,103.59
2014,2,1,4,102.86
2014,2,1,5,104.62
2014,2,1,6,103.91
2014,2,1,7,101.16
2014,2,1,8,99.93
2014,2,1,9,96.53
2014,2,1,10,90.7
2014,2,1,11,86.26
2014,2,1,12,87.35
2014,2,1,13,85.59
2014,2,1,14,83.95
2014,2,1,15,84.81
2014,2,1,16,74.42
2014,2,1,17,69.2
2014,2,1,18,77
2014,2,1,19,83
2014,2,1,20,84.44
2014,2,1,21,88.54
2014,2,1,22,87.01
2014,2,1,23,98.82
2014,2,2,0,98.06
2014,2,2,1,95.01
2014,2,2,2,89.7
2014,2,2,3,91.27
2014,2,2,4,90.47
2014,2,2,5,94.03
2014,2,2,6,95.44
2014,2,2,7,92.7
